date,Maricopa,Mohave,Navajo,Yuma,Coconino,Graham,Pinal,Santa Cruz,Unknown,Apache,Pima,Gila,Greenlee,Yavapai,Cochise,La Paz
04/25/2020,3234,81,612,47,402,6,332,30,0,314,1090,11,2,76,36,7
04/26/2020,3359,88,625,51,420,7,342,30,0,336,1136,11,2,76,36,7
04/27/2020,3457,96,628,53,425,9,359,30,0,362,1164,11,2,77,36,7
04/28/2020,3578,99,665,60,439,9,365,31,0,380,1188,11,2,77,37,7
04/29/2020,3723,105,682,65,453,10,387,31,0,392,1215,12,2,79,38,8
04/30/2020,3972,117,712,78,486,16,397,33,0,449,1241,13,2,79,39,14
05/01/2020,4156,122,741,82,498,17,417,33,0,478,1267,13,2,82,39,15
05/02/2020,4421,127,766,89,512,17,435,34,0,507,1300,14,2,87,39,14
05/03/2020,4585,135,777,98,527,18,456,34,0,526,1326,14,2,89,39,14
05/04/2020,4751,141,800,110,540,18,468,34,0,549,1346,14,2,93,39,14
05/05/2020,4929,147,869,115,561,19,478,35,0,576,1379,14,2,126,39,16
05/06/2020,5138,150,892,134,588,19,497,37,0,612,1425,15,2,140,40,18
05/07/2020,5196,158,912,148,618,19,530,38,0,630,1465,17,2,152,40,20
05/08/2020,5525,171,945,159,659,18,566,38,0,671,1520,19,2,170,41,22
05/09/2020,5779,178,981,176,679,19,585,40,0,710,1554,19,2,175,41,22
05/10/2020,5827,193,983,191,699,19,600,44,0,716,1585,19,2,177,41,23
05/11/2020,5988,198,1006,196,713,19,620,45,0,727,1602,19,2,180,42,23
05/12/2020,6219,207,1017,207,720,20,636,51,0,744,1623,19,2,206,43,22
05/13/2020,6341,213,1099,243,772,21,643,50,0,817,1661,19,2,227,43,25
05/14/2020,6599,220,1150,285,795,21,650,62,0,859,1696,21,2,243,44,27
05/15/2020,6821,242,1177,310,823,21,670,69,0,927,1750,22,2,254,45,36
05/16/2020,7096,250,1238,328,839,20,678,72,0,962,1781,22,2,260,46,37
05/17/2020,7240,250,1273,355,866,20,693,75,0,981,1814,22,2,262,46,38
05/18/2020,7340,251,1285,405,901,20,702,78,0,988,1825,22,2,267,46,38
05/19/2020,7482,262,1320,433,943,20,720,97,0,1023,1888,22,3,269,46,38
05/20/2020,7644,267,1361,450,961,21,724,102,0,1080,1903,22,3,273,46,40
05/21/2020,7835,277,1421,475,972,21,732,123,0,1121,1944,22,3,273,51,45
05/22/2020,7950,288,1470,492,979,21,749,131,0,1139,1974,24,3,284,56,48
05/23/2020,8177,303,1491,590,1000,21,751,143,0,1144,2002,24,3,284,58,49
05/24/2020,8277,304,1523,632,1019,21,755,169,0,1191,2027,24,3,285,59,50
05/25/2020,8379,319,1543,656,1028,24,764,186,0,1191,2046,24,3,288,59,51
05/26/2020,8448,329,1550,717,1041,23,766,187,0,1214,2075,24,3,291,64,51
05/27/2020,8627,339,1652,782,1066,25,777,188,0,1250,2119,25,3,292,63,54
05/28/2020,8896,350,1678,822,1078,26,788,225,0,1290,2167,25,4,294,67,53
05/29/2020,9112,369,1752,929,1104,27,814,262,0,1414,2234,28,4,295,67,54
05/30/2020,9522,383,1833,979,1123,28,837,297,0,1491,2290,30,4,296,72,70
05/31/2020,9815,396,1866,1105,1151,32,863,330,0,1524,2368,31,6,297,74,78
06/01/2020,9937,403,1873,1131,1155,32,865,330,0,1526,2382,31,6,297,76,79
06/02/2020,10536,409,1957,1275,1173,37,909,365,0,1569,2496,35,8,300,89,92
06/03/2020,11068,422,1994,1387,1186,41,940,460,0,1586,2627,37,8,304,94,91
06/04/2020,11229,428,2042,1510,1221,38,948,527,0,1637,2669,39,8,307,105,110
06/05/2020,12091,447,2104,1708,1248,40,1018,540,0,1656,2883,42,9,314,120,149
06/06/2020,12761,485,2152,1850,1267,39,1067,596,0,1692,2950,43,9,326,122,158
06/07/2020,13498,500,2198,2131,1282,40,1112,634,0,1727,3098,45,10,327,141,181
06/08/2020,14003,512,2229,2257,1290,41,1127,698,0,1732,3154,46,10,330,149,183
06/09/2020,14374,513,2253,2378,1289,42,1164,733,0,1747,3161,47,10,340,156,189
06/10/2020,15282,552,2388,2439,1310,45,1209,817,0,1811,3350,48,10,348,167,205
06/11/2020,16148,563,2483,2586,1328,48,1281,914,0,1889,3483,49,11,359,171,212
06/12/2020,17023,584,2512,2962,1345,48,1363,948,0,1927,3628,54,11,367,178,217
06/13/2020,17791,586,2590,3144,1360,48,1500,1027,0,1967,3889,59,11,374,206,221
06/14/2020,18692,589,2619,3279,1368,50,1500,1082,0,1972,3910,70,11,374,216,221
06/15/2020,19372,618,2636,3404,1373,50,1568,1149,0,1975,3944,87,12,374,221,222
06/16/2020,20775,624,2749,3467,1393,55,1727,1217,0,1996,4329,91,12,384,241,238
06/17/2020,22272,636,2771,3637,1410,56,1793,1217,0,1998,4385,99,12,387,248,238
06/18/2020,23890,676,2874,3874,1439,58,1888,1249,0,2059,4682,115,13,402,267,245
06/19/2020,25999,686,2928,4078,1470,59,2130,1297,0,2103,5019,125,14,417,332,257
06/20/2020,28303,717,2984,4403,1490,61,2171,1418,0,2116,5313,143,13,436,362,268
06/21/2020,30136,721,3009,4604,1536,63,2357,1488,0,2117,5370,160,13,456,363,273
06/22/2020,31650,723,3037,4756,1541,65,2459,1498,0,2121,5587,176,13,490,372,279
06/23/2020,33883,813,3166,4940,1595,66,2704,1540,0,2165,6089,192,16,510,432,286
06/24/2020,34993,841,3248,5131,1611,71,2778,1554,0,2194,6318,201,16,521,441,289
06/25/2020,37135,881,3311,5364,1676,70,2912,1603,0,2235,6546,216,17,564,468,299
06/26/2020,39626,927,3367,5524,1713,75,3035,1654,0,2250,6836,237,17,597,509,309
06/27/2020,42374,962,3397,5680,1735,82,3154,1684,0,2250,7086,249,18,628,538,315
06/28/2020,44962,1004,3537,5793,1819,85,3350,1728,0,2303,7525,268,18,668,573,328
06/29/2020,45178,1028,3570,5895,1850,92,3382,1733,0,2309,7568,271,18,771,605,332
06/30/2020,48710,1071,3625,6225,1885,96,3574,1781,0,2337,8004,292,18,794,645,342
07/01/2020,52266,1142,3703,6498,1941,108,3777,1823,0,2381,8387,309,18,791,663,345
07/02/2020,54757,1248,3744,6683,1986,117,3908,1854,0,2405,8577,314,19,853,684,346
07/03/2020,57929,1342,3817,6838,2087,125,4139,1896,0,2418,9024,325,19,861,723,351
07/04/2020,59829,1358,3848,7062,2107,127,4237,1946,0,2423,9313,335,18,881,775,357
07/05/2020,62296,1384,3883,7346,2164,140,4391,1984,0,2439,9621,354,21,929,811,363
07/06/2020,64915,1436,3904,7445,2190,152,4600,2029,0,2441,9873,349,26,973,838,371
07/07/2020,67543,1454,4015,7613,2237,172,4792,2048,0,2471,10184,361,26,999,870,374
07/08/2020,70128,1573,4089,7780,2250,179,4959,2063,0,2499,10485,373,26,1041,884,381
07/09/2020,73165,1662,4150,7904,2338,180,5156,2096,0,2520,10835,385,27,1056,925,384
07/10/2020,76328,1730,4255,7999,2379,184,5332,2133,0,2534,11172,424,29,1070,984,394
