date,Windham,Windsor,Addison,Caledonia,Essex,Unknown,Grand Isle,Orange,Rutland,Bennington,Chittenden,Lamoille,Orleans,Washington,Franklin
04/04/2020,21,24,34,5,0,12,0,4,24,23,245,17,8,21,23
04/05/2020,31,22,40,6,0,13,0,4,27,24,271,17,8,22,27
04/06/2020,35,22,40,6,0,21,0,4,28,25,285,18,8,22,29
04/07/2020,38,24,47,8,0,3,1,4,31,27,308,19,8,24,33
04/08/2020,40,24,49,8,3,8,1,5,31,28,324,19,8,24,33
04/09/2020,42,24,50,8,1,8,3,5,34,31,336,19,8,24,35
04/10/2020,42,24,50,8,1,26,3,5,34,31,336,19,8,24,68
04/11/2020,50,25,54,8,1,11,3,5,35,31,351,21,8,28,80
04/12/2020,54,25,55,8,1,7,3,5,36,31,364,21,8,28,81
04/13/2020,55,27,56,9,1,8,3,5,39,32,372,22,8,28,83
04/14/2020,57,27,56,9,1,8,3,5,39,32,372,22,8,29,84
04/15/2020,58,29,56,9,1,12,3,5,39,32,372,22,8,29,84
04/16/2020,58,31,56,9,1,9,3,5,41,33,377,22,8,29,86
04/17/2020,60,33,57,10,1,10,3,5,41,33,378,22,8,30,88
04/18/2020,63,34,61,10,1,10,3,5,42,37,384,23,9,31,90
04/19/2020,62,37,61,12,2,10,3,5,43,37,385,23,9,32,91
04/20/2020,63,37,61,12,2,11,3,5,43,37,385,23,9,32,93
04/21/2020,65,38,61,12,2,3,3,6,44,37,391,23,9,32,92
04/22/2020,67,38,61,12,2,3,3,6,44,37,393,23,9,33,92
04/23/2020,67,38,61,12,2,3,3,6,44,37,395,25,9,33,90
04/24/2020,67,38,61,12,2,3,3,6,44,38,396,25,9,33,90
04/25/2020,68,39,61,13,2,5,3,6,44,39,405,26,9,33,90
04/26/2020,69,39,61,13,2,5,3,6,44,40,410,26,9,33,91
04/27/2020,70,40,61,13,2,3,3,7,44,40,414,26,9,32,91
04/28/2020,71,40,61,13,2,3,3,7,44,44,416,26,9,32,91
04/29/2020,71,40,61,13,2,3,3,7,44,44,416,26,9,32,91
04/30/2020,71,40,61,13,2,3,3,7,45,44,418,26,9,33,91
05/01/2020,71,40,61,14,2,3,3,7,46,47,419,26,9,33,98
05/02/2020,71,41,61,14,2,3,3,7,49,47,422,26,9,33,98
05/03/2020,72,42,61,14,2,4,4,7,49,51,423,25,9,35,99
05/04/2020,72,43,61,14,2,4,4,8,49,51,425,26,9,35,99
05/05/2020,73,43,61,14,2,4,4,8,50,54,425,26,9,35,99
05/06/2020,73,44,61,14,2,4,4,8,49,53,426,26,9,36,99
05/07/2020,73,46,61,14,2,4,4,8,49,53,431,26,9,37,99
05/08/2020,73,46,62,14,2,4,4,8,50,54,431,26,9,37,99
05/09/2020,74,46,62,14,2,4,4,8,49,56,431,26,9,37,99
05/10/2020,74,45,62,14,2,4,4,8,49,60,432,26,9,38,99
05/11/2020,74,45,62,14,2,4,4,8,49,60,432,26,9,38,99
05/12/2020,75,45,62,14,2,4,4,8,49,60,432,26,9,38,99
05/13/2020,75,46,62,14,2,4,4,8,49,60,432,27,9,38,99
05/14/2020,77,47,62,14,2,4,4,8,49,60,432,27,9,38,99
05/15/2020,77,47,62,14,2,4,4,8,49,60,433,27,9,38,99
05/16/2020,77,47,62,14,2,4,4,8,49,60,434,27,9,38,99
05/17/2020,76,47,62,14,2,5,4,8,50,60,439,27,9,38,99
05/18/2020,76,47,62,14,2,5,4,8,50,60,439,27,9,38,99
05/19/2020,77,48,62,14,2,6,4,8,50,60,439,28,9,38,99
05/20/2020,77,48,62,14,2,7,4,8,50,60,439,27,9,38,99
05/21/2020,80,49,62,14,2,5,5,8,50,60,440,29,9,38,99
05/22/2020,80,49,62,14,3,5,5,8,51,60,440,29,9,38,99
05/23/2020,80,49,62,14,3,5,6,8,51,60,440,29,9,39,99
05/24/2020,80,49,62,15,3,5,6,8,51,61,440,29,9,39,99
05/25/2020,80,50,62,15,3,5,7,8,53,62,441,29,9,39,99
05/26/2020,80,51,62,15,3,5,7,8,53,62,444,29,10,39,99
05/27/2020,80,51,62,15,3,6,7,8,54,62,446,29,10,39,99
05/28/2020,81,51,62,15,3,5,7,8,54,62,449,29,10,39,99
05/29/2020,81,51,62,15,3,5,7,8,55,63,448,29,10,39,99
05/30/2020,81,51,63,15,3,5,7,8,55,63,449,29,10,39,99
05/31/2020,81,51,64,15,3,5,7,9,55,63,451,29,10,39,99
06/01/2020,81,51,64,15,3,5,7,9,55,63,453,29,10,39,99
06/02/2020,81,51,64,15,3,5,7,9,55,64,457,29,10,39,99
06/03/2020,81,52,64,16,3,5,7,9,55,64,457,29,10,39,99
06/04/2020,81,52,64,16,3,5,7,9,56,65,491,29,10,39,99
06/05/2020,81,52,64,16,3,5,7,9,56,66,490,29,10,39,100
06/06/2020,82,55,65,16,3,5,7,9,57,66,503,29,10,39,100
06/07/2020,82,55,65,16,3,5,7,9,57,66,520,29,10,39,100
06/08/2020,83,55,65,16,3,5,7,9,57,66,528,29,13,39,100
06/09/2020,83,56,66,16,3,5,7,9,57,66,535,29,13,39,100
06/10/2020,83,56,66,16,3,5,7,9,57,67,544,29,13,39,101
