date,Lyon,Storey,Unknown,Churchill,Douglas,Humboldt,Washoe,White Pine,Carson City,Lander,Mineral,Nye,Clark,Elko,Pershing,Lincoln,Eureka
06/26/2020,107,2,0,11,60,81,2512,3,146,32,4,89,12204,99,6,2,1
06/27/2020,108,2,0,10,62,81,2573,3,147,32,4,90,13174,105,6,2,1
06/28/2020,110,2,0,10,64,82,2600,3,149,35,4,94,13910,115,6,2,1
06/29/2020,112,2,0,11,64,83,2656,4,151,35,5,108,14607,124,6,2,1
06/30/2020,115,2,0,11,65,83,2766,4,151,35,5,114,15095,127,6,2,1
07/01/2020,120,2,0,12,69,83,2804,4,155,35,5,118,15604,131,6,2,1
07/02/2020,123,2,0,13,70,85,2923,5,166,35,5,121,16180,134,6,2,1
07/03/2020,123,2,0,14,70,85,3073,6,167,35,5,126,17028,135,6,2,1
07/04/2020,126,2,0,16,72,84,3165,6,172,38,5,126,17707,140,9,2,1
07/05/2020,129,2,0,18,74,84,3258,6,180,38,5,126,18442,144,9,2,1
07/06/2020,131,2,0,18,76,84,3260,6,182,38,5,136,18818,162,9,2,1
07/07/2020,135,2,0,20,79,86,3295,6,185,38,5,169,19654,162,9,2,1
07/08/2020,135,2,0,20,79,86,3328,6,185,38,5,171,20126,185,9,2,1
07/09/2020,136,2,0,26,80,89,3459,6,194,38,5,186,20622,199,10,2,1
07/10/2020,140,2,0,26,82,90,3507,6,200,40,6,187,21449,213,10,2,1
