date,Bent,Boulder,Conejos,Crowley,Delta,El Paso,Elbert,Gunnison,Hinsdale,Huerfano,Kit Carson,Larimer,Lincoln,Logan,Mineral,Moffat,Montrose,Otero,Pueblo,San Miguel,Adams,Broomfield,Custer,Douglas,Routt,Yuma,Alamosa,Archuleta,Chaffee,Eagle,Garfield,Grand,Jefferson,Las Animas,Park,Prowers,Rio Grande,Saguache,Teller,Unknown,Weld,Cheyenne,Costilla,Denver,Fremont,Gilpin,Jackson,La Plata,Lake,Mesa,Morgan,Ouray,Phillips,Pitkin,Rio Blanco,San Juan,Summit,Washington,Clear Creek,Montezuma,Baca,Arapahoe
04/18/2020,0,342,0,2,19,721,23,114,3,1,14,231,3,17,2,4,72,6,84,13,894,101,2,360,49,2,7,7,37,483,70,4,930,3,6,1,7,3,18,80,1029,0,3,1723,9,1,0,52,8,34,147,5,5,57,1,0,86,6,11,13,10,1498
04/19/2020,0,352,0,2,22,731,23,114,3,1,18,239,3,17,2,4,77,6,87,15,915,101,2,368,49,3,7,7,38,485,70,4,957,3,6,1,7,3,24,114,1070,0,3,1784,10,1,0,52,8,35,157,5,5,57,1,0,86,6,11,13,10,1536
04/20/2020,0,360,0,2,25,734,24,117,3,1,18,245,3,22,2,5,80,7,88,17,968,103,2,381,49,3,9,7,38,486,71,4,987,3,6,1,7,3,24,126,1121,0,3,1880,11,1,0,51,8,35,167,5,5,57,1,0,88,6,11,13,10,1602
04/21/2020,0,390,0,2,25,744,24,121,3,1,18,250,3,23,2,6,80,7,92,17,996,106,2,384,51,3,9,7,38,487,71,5,1011,3,6,1,7,3,25,105,1180,0,3,2004,11,1,0,51,8,35,180,5,5,58,1,0,88,6,11,13,10,1649
04/22/2020,0,417,0,2,25,774,24,121,3,1,18,266,3,24,2,6,82,7,107,17,1033,110,2,392,52,4,9,9,55,488,71,5,1064,3,6,1,7,3,25,95,1237,0,3,2071,19,1,0,53,9,37,202,5,5,57,1,0,88,6,11,13,10,1717
04/23/2020,0,426,0,2,25,798,26,121,3,1,18,274,3,24,2,6,82,7,108,17,1082,113,2,399,52,5,9,8,55,489,74,5,1075,3,6,1,7,3,25,108,1263,0,3,2172,19,1,0,55,10,37,214,5,5,57,1,0,89,6,12,15,10,1824
04/24/2020,0,470,0,2,26,853,27,123,3,1,19,291,3,31,2,6,83,8,116,17,1252,126,2,414,52,6,10,8,66,506,81,5,1157,3,7,1,7,3,26,103,1353,0,3,2385,19,1,0,56,12,37,232,5,5,59,1,0,97,6,13,15,10,2030
04/25/2020,0,497,0,2,26,862,27,151,3,2,19,303,4,213,2,6,87,8,121,17,1302,135,2,425,52,6,10,8,65,512,83,5,1236,3,7,1,7,3,27,131,1430,0,3,2487,20,1,0,59,16,38,249,5,5,59,1,0,97,6,13,15,10,2083
04/26/2020,0,500,0,2,27,867,27,158,3,2,20,312,4,248,2,6,90,8,131,19,1348,139,2,439,54,6,10,8,66,533,87,5,1265,3,7,1,7,3,27,172,1469,0,3,2583,22,1,0,59,17,38,259,5,5,61,1,0,105,6,13,15,10,2160
04/27/2020,0,515,0,2,33,879,27,158,3,2,20,321,3,259,2,6,92,8,134,19,1391,141,2,449,54,6,10,8,66,535,88,5,1276,3,7,1,7,3,27,101,1544,0,3,2682,22,1,0,59,17,40,298,5,6,61,1,0,106,6,13,15,10,2252
