date,Bristol,Hampden,Middlesex,Norfolk,Franklin,Hampshire,Nantucket,Suffolk,Unknown,Barnstable,Worcester,Dukes,Essex,Plymouth,Berkshire
06/24/2020,8086,6633,23697,9056,359,950,14,19628,290,1525,12207,45,15920,8610,591
06/25/2020,8107,6658,23741,9082,362,952,14,19664,283,1525,12236,45,15952,8625,591
06/26/2020,8142,6691,23786,9100,364,952,14,19707,285,1530,12240,46,15975,8646,592
06/27/2020,8176,6729,23859,9125,366,955,15,19764,289,1531,12303,48,16028,8661,594
06/28/2020,8198,6760,23915,9151,366,958,15,19795,287,1532,12324,48,16053,8671,594
06/29/2020,8208,6765,23946,9161,366,959,15,19795,288,1535,12342,49,16069,8676,594
06/30/2020,8225,6776,23962,9166,366,962,15,19819,288,1538,12350,49,16088,8684,594
07/01/2020,8236,6791,23998,9184,370,965,17,19853,346,1542,12376,50,16122,8696,597
07/02/2020,8264,6812,24039,9200,372,969,17,19892,287,1547,12407,49,16176,8707,600
07/03/2020,8295,6834,24083,9242,372,976,18,19936,292,1553,12443,50,16210,8722,602
07/04/2020,8311,6861,24115,9260,373,982,18,19972,291,1553,12481,50,16235,8734,602
07/05/2020,8321,6870,24153,9273,373,985,20,19985,291,1557,12499,51,16254,8740,602
07/06/2020,8331,6883,24193,9284,373,985,20,20014,292,1561,12515,51,16283,8748,604
07/07/2020,8348,6895,24243,9306,373,986,20,20048,294,1561,12534,51,16318,8757,604
07/08/2020,8365,6903,24300,9339,376,991,21,20120,298,1563,12562,53,16342,8765,604
07/09/2020,8399,6932,24348,9384,381,993,22,20172,297,1566,12583,55,16379,8777,609
07/10/2020,8426,6943,24377,9403,383,995,22,20228,294,1570,12603,56,16414,8786,610
