date,Baxter,Benton,Columbia,Crittenden,Faulkner,Garland,Grant,Hempstead,Johnson,Lincoln,Little River,Lonoke,Marion,Nevada,Newton,Perry,Pulaski,Sevier,Van Buren,Carroll,Chicot,Clay,Cleveland,Cross,Dallas,Desha,Greene,Howard,Lawrence,Lee,Miller,Montgomery,Ouachita,Pike,Prairie,Saline,Sharp,St. Francis,Stone,Yell,Conway,Fulton,Hot Spring,Independence,Jackson,Madison,Mississippi,Poinsett,Polk,Sebastian,Union,Washington,White,Woodruff,Boone,Bradley,Calhoun,Clark,Crawford,Drew,Franklin,Jefferson,Lafayette,Logan,Monroe,Phillips,Pope,Randolph,Scott,Searcy,Unknown,Ashley,Craighead,Cleburne,Izard,Arkansas
04/26/2020,5,93,6,171,73,111,11,5,29,727,0,38,1,1,3,6,478,11,27,4,9,2,10,16,1,16,16,13,42,3,32,0,5,3,2,55,2,80,7,3,11,1,10,9,1,1,11,16,7,12,33,77,31,1,5,8,0,28,4,13,1,153,6,3,4,4,41,16,1,6,216,13,62,72,5,2
04/27/2020,5,94,9,174,75,114,12,5,30,754,0,39,1,1,3,6,484,11,27,4,9,2,10,16,1,16,16,13,43,3,33,0,6,3,2,56,3,81,7,3,12,1,10,9,1,1,13,18,8,12,38,77,31,1,5,8,0,27,4,13,2,160,7,3,4,5,42,16,1,6,203,13,68,72,5,2
04/28/2020,5,94,12,177,75,115,12,6,29,755,0,40,1,1,3,6,490,11,27,5,9,3,10,16,1,16,16,13,45,3,33,1,6,3,2,57,6,82,7,3,12,1,15,9,1,1,14,18,8,12,43,77,31,1,5,8,0,27,4,13,2,162,7,3,4,5,42,17,1,6,220,13,70,72,5,2
04/29/2020,5,101,12,181,76,115,13,6,29,814,0,41,1,1,3,6,503,11,28,5,9,3,10,17,1,16,16,13,46,3,33,1,6,3,2,64,6,83,7,3,13,1,17,9,1,1,15,21,8,13,45,84,33,1,5,11,0,28,4,14,2,168,7,3,4,5,43,17,1,6,167,13,74,73,5,2
04/30/2020,5,102,13,187,76,116,14,6,31,814,0,41,1,1,3,7,518,11,28,5,9,3,11,17,1,16,16,13,59,3,34,1,6,3,2,67,10,83,7,3,13,1,19,9,1,1,19,22,8,13,50,86,34,1,5,12,0,30,4,16,2,169,7,3,4,5,43,17,1,6,168,15,74,73,5,2
05/01/2020,5,101,13,188,76,117,14,5,31,815,0,41,1,1,3,7,527,12,28,5,9,3,11,21,1,16,16,13,59,3,34,1,7,3,2,67,9,84,7,3,13,1,19,10,1,1,20,23,7,13,54,87,34,1,4,11,0,30,4,15,2,176,8,3,4,5,43,18,1,6,160,16,80,73,6,2
05/02/2020,5,112,13,193,76,117,14,6,31,817,0,41,1,1,3,7,539,12,28,6,9,3,11,21,1,16,16,13,60,3,34,1,7,3,2,67,9,87,8,4,13,1,19,10,1,1,20,23,7,13,54,87,34,1,4,11,0,31,5,15,2,178,8,3,4,5,44,18,1,6,178,16,81,73,6,2
05/03/2020,5,106,13,197,77,118,14,6,31,822,0,43,1,1,3,7,550,12,28,6,9,3,11,24,1,16,19,13,66,3,35,1,7,3,2,68,9,93,8,5,13,1,20,10,1,1,20,23,8,13,60,90,35,1,4,11,0,31,5,16,2,184,8,3,4,6,44,18,1,6,174,16,81,73,9,3
05/04/2020,5,108,13,196,77,117,14,7,31,842,0,44,1,2,3,7,551,13,28,6,9,3,11,25,1,16,19,14,67,3,35,1,7,3,2,67,9,95,8,6,13,1,20,11,1,1,23,23,8,13,62,91,35,1,4,11,0,32,4,16,2,195,8,2,4,6,44,19,1,6,163,15,84,72,9,3
05/05/2020,5,110,13,197,77,117,14,7,31,853,0,44,1,2,3,7,565,14,28,6,9,3,11,25,1,16,21,14,67,4,35,1,7,3,2,67,7,95,8,6,13,3,20,11,1,1,41,25,7,13,62,91,35,1,4,11,0,32,4,16,2,199,8,2,4,5,45,19,1,6,163,15,85,72,10,2
05/06/2020,5,111,15,202,78,117,14,7,31,883,0,44,1,2,3,7,576,14,28,6,10,3,11,27,1,17,21,14,69,4,35,1,7,3,2,67,7,98,8,7,13,3,22,11,1,1,42,25,7,14,67,94,35,1,4,11,0,32,4,19,2,217,9,3,4,5,46,21,1,6,145,17,88,72,11,2
05/07/2020,5,113,15,203,81,118,14,7,33,899,0,44,1,3,3,7,588,14,28,6,10,3,12,27,1,16,22,14,69,4,35,1,8,3,2,70,8,104,8,7,13,3,22,12,1,1,42,25,7,14,73,102,35,1,4,11,0,32,5,19,2,222,9,3,4,4,47,21,1,6,153,17,92,72,11,2
05/08/2020,5,116,15,205,81,118,15,7,34,907,0,44,1,3,3,7,603,16,28,6,10,3,13,27,1,16,22,14,69,4,36,1,8,3,2,72,8,108,8,7,13,3,22,12,1,1,47,25,7,14,73,105,35,1,4,11,0,32,5,19,2,226,9,3,4,4,47,21,1,6,154,17,92,72,11,2
05/09/2020,5,116,15,205,81,118,15,7,34,907,0,44,1,3,3,7,603,16,28,6,10,3,13,27,1,16,22,14,69,4,36,1,8,3,2,72,8,108,8,7,13,3,22,12,1,1,47,25,7,14,73,105,35,1,4,11,0,32,5,19,2,226,9,3,4,4,47,21,1,6,154,17,92,72,11,2
05/10/2020,5,123,15,210,82,119,15,7,34,937,0,45,1,3,3,8,627,18,28,6,10,3,13,29,1,16,23,14,70,5,36,1,9,3,2,73,11,278,8,7,13,3,26,17,1,1,52,25,7,15,76,110,36,1,4,11,0,33,5,19,2,234,9,3,5,4,47,21,1,6,127,18,97,72,11,2
05/11/2020,5,123,15,210,82,119,15,7,34,941,0,45,1,3,3,8,630,21,28,6,10,4,13,29,1,17,23,14,69,5,37,1,9,3,2,73,16,279,8,7,13,3,26,17,1,1,52,25,7,15,76,110,36,1,4,11,0,33,5,19,2,238,9,3,5,4,48,22,1,6,131,18,98,72,13,2
05/12/2020,5,127,15,212,82,120,15,7,35,942,0,44,1,3,3,8,640,21,28,6,10,3,13,31,1,17,24,14,71,9,38,1,8,3,2,75,25,305,8,7,13,3,27,17,1,1,53,25,7,15,80,111,37,1,4,11,0,34,8,19,2,273,9,3,5,4,48,22,1,6,137,18,103,72,13,2
05/13/2020,5,131,15,216,83,121,16,7,35,942,0,43,1,3,3,8,647,24,28,6,10,3,15,34,1,17,24,14,71,9,40,1,9,3,2,76,26,310,8,7,14,3,28,19,1,1,54,25,7,15,84,114,36,1,4,12,0,35,8,19,2,280,9,4,5,4,51,22,1,6,140,18,113,72,13,2
05/14/2020,6,136,15,219,83,126,16,7,35,949,0,44,1,3,3,10,661,24,28,6,10,3,15,35,1,18,24,14,72,10,40,1,9,3,2,78,36,316,8,9,14,3,29,22,1,1,55,25,7,15,105,126,36,1,4,12,0,35,8,19,2,300,9,4,5,4,52,22,1,6,135,18,127,72,13,2
05/15/2020,6,139,15,229,88,127,16,9,35,952,0,45,1,4,3,12,669,25,28,6,10,3,16,35,1,18,24,14,72,10,42,1,9,3,2,80,37,333,8,9,14,3,29,23,1,1,58,25,7,15,105,131,36,1,4,13,0,35,9,19,2,310,9,4,5,4,61,22,1,6,139,18,130,72,13,2
05/16/2020,6,144,15,230,91,129,16,9,35,955,1,45,1,4,3,12,683,27,28,6,10,3,16,35,1,18,24,14,73,10,42,1,10,3,2,81,37,335,8,13,14,3,29,25,1,1,61,26,7,15,107,141,36,1,4,15,0,35,11,19,2,362,9,4,5,4,63,22,1,6,131,18,137,72,13,2
05/17/2020,6,149,15,234,93,129,16,9,35,955,1,45,1,4,3,12,686,28,28,5,10,3,16,35,1,18,24,14,73,11,42,1,10,3,2,82,37,341,8,23,14,4,29,25,1,1,61,26,8,16,107,143,36,1,4,15,0,35,11,19,2,491,9,4,5,5,73,22,1,6,132,18,140,72,13,2
05/18/2020,6,150,16,237,94,130,16,9,35,965,1,45,1,4,3,12,693,32,28,6,11,4,16,36,1,18,24,14,73,12,42,1,10,3,2,82,37,349,8,28,14,4,29,26,1,1,62,27,8,16,107,145,37,1,4,15,0,35,11,19,2,491,9,4,5,5,76,22,1,6,130,18,141,72,13,2
05/19/2020,6,155,18,241,95,130,16,9,35,965,1,46,1,4,3,12,713,46,28,6,11,4,17,39,1,18,25,14,77,12,42,1,10,3,2,82,38,362,8,30,14,4,29,26,1,2,65,28,8,17,117,151,37,1,5,14,0,35,12,19,2,497,9,4,5,5,76,23,1,6,130,19,147,72,14,2
05/20/2020,6,163,20,250,95,130,16,10,35,966,1,46,1,4,3,12,724,49,28,6,11,4,17,40,1,18,29,14,77,12,42,1,10,3,2,82,40,365,8,38,14,4,29,27,1,2,66,28,9,18,121,154,37,1,5,14,0,35,12,19,2,499,9,4,5,5,79,24,1,6,133,19,153,73,14,2
05/21/2020,6,190,20,267,98,131,16,12,36,966,1,46,1,4,3,12,740,50,28,8,12,4,17,41,1,18,34,14,79,13,42,1,10,4,2,83,42,600,8,73,14,4,29,27,1,2,69,30,9,18,140,180,37,1,5,15,0,35,12,19,2,500,9,4,5,6,92,24,1,6,151,19,170,73,14,2
05/22/2020,6,212,20,276,98,132,16,11,36,966,1,46,1,4,3,12,761,62,28,9,12,4,18,42,1,18,42,15,81,13,42,1,10,4,2,83,42,621,8,76,14,6,29,27,1,3,70,31,9,18,144,213,37,1,5,16,0,36,12,19,2,501,9,4,5,7,100,25,1,6,144,19,174,73,14,2
05/23/2020,6,237,20,280,100,133,16,13,38,970,1,46,1,4,3,12,773,79,28,10,12,4,18,42,1,19,45,15,82,14,42,1,10,4,2,87,42,628,8,94,14,6,29,29,1,3,70,31,9,19,152,233,38,1,6,16,0,36,13,19,4,504,9,4,5,7,107,26,1,6,148,19,181,73,14,2
05/24/2020,6,284,20,285,100,133,16,13,38,974,2,46,1,4,3,13,785,84,28,10,13,4,18,42,1,19,45,16,82,15,42,1,10,4,2,97,42,634,8,96,14,6,30,28,1,3,70,31,10,19,157,259,40,1,6,17,0,36,13,19,4,504,9,4,5,9,113,26,1,6,150,19,185,73,15,3
05/25/2020,7,297,20,293,100,134,16,13,38,975,4,46,1,4,3,13,793,93,28,15,13,4,18,42,1,19,50,17,82,17,42,1,10,4,2,98,42,639,8,99,14,6,30,28,1,5,70,30,11,20,160,276,40,1,6,17,0,36,14,19,4,504,9,4,5,9,119,26,1,6,159,19,188,73,15,3
05/26/2020,8,315,20,297,100,134,16,14,38,975,5,46,1,4,3,13,802,111,28,17,14,4,18,46,1,19,54,17,82,17,42,1,10,5,2,100,42,651,8,102,14,6,30,29,1,6,72,30,12,22,162,303,40,1,6,18,0,37,17,19,4,510,9,4,5,9,124,26,1,7,174,19,190,73,15,3
05/27/2020,8,339,20,301,100,135,17,14,38,975,5,45,1,5,3,14,808,120,28,21,14,4,18,46,1,19,54,17,82,17,42,1,10,5,2,99,42,655,8,108,14,6,30,29,1,6,72,31,11,23,162,326,42,1,6,18,0,37,17,19,4,510,9,4,5,12,125,26,1,7,181,19,191,73,15,3
05/28/2020,9,428,20,318,101,136,18,14,40,975,6,46,1,5,3,14,830,131,28,24,15,4,18,48,1,19,60,18,82,18,42,2,10,5,2,108,45,660,8,114,14,7,31,29,1,6,73,31,12,24,164,352,43,2,6,18,0,38,17,19,4,515,9,4,5,12,129,26,1,7,199,19,203,73,16,3
05/29/2020,9,468,21,341,102,136,18,15,42,975,6,47,1,5,3,14,846,162,28,24,15,4,19,50,1,19,63,19,82,18,42,2,10,5,2,110,46,664,8,128,14,7,32,30,1,13,73,31,17,29,166,410,43,2,6,18,0,39,18,19,4,516,9,5,5,19,136,26,1,7,193,19,206,73,16,4
05/30/2020,11,507,25,367,102,136,18,16,43,978,6,47,1,5,3,14,876,170,28,24,15,4,19,51,1,19,64,20,84,19,43,2,10,5,2,112,46,672,9,137,14,7,32,31,1,22,75,33,17,38,171,452,44,1,6,18,0,39,24,19,4,517,9,6,5,20,142,26,1,7,196,19,212,73,16,5
05/31/2020,12,578,23,380,102,136,18,18,43,982,6,48,2,6,3,14,888,210,28,24,15,4,19,52,1,19,64,21,84,20,44,2,10,5,2,112,46,672,9,141,14,7,32,31,3,23,75,33,19,40,173,509,44,1,6,22,0,39,29,20,4,521,9,6,5,21,148,26,1,7,188,19,220,73,16,6
06/01/2020,12,607,23,386,102,136,18,18,48,983,6,49,2,7,3,14,903,225,28,25,15,4,19,52,1,19,64,21,84,21,45,2,10,5,2,113,46,676,9,162,14,7,32,31,3,23,76,33,21,43,173,562,44,1,6,22,0,39,30,20,4,523,9,7,5,22,161,26,1,7,189,19,228,74,16,7
06/02/2020,12,676,22,395,103,136,18,21,49,983,8,54,2,7,3,14,969,258,29,29,16,5,19,56,3,19,65,25,85,23,47,2,10,5,3,116,46,682,9,179,14,7,32,34,4,29,78,37,26,47,173,620,46,1,6,22,0,39,31,20,4,529,9,8,5,24,166,26,1,7,203,20,249,74,17,7
06/03/2020,12,700,22,413,106,138,18,20,48,984,9,55,2,7,3,14,1003,283,29,29,16,5,19,56,3,19,66,26,85,24,49,2,10,5,3,121,47,687,9,183,14,7,33,33,4,30,78,38,28,53,177,652,48,1,7,23,0,41,34,20,4,532,9,10,6,24,171,26,1,7,249,20,257,76,17,7
06/04/2020,12,804,23,426,108,138,18,21,54,985,10,56,2,9,3,14,1039,297,29,30,16,5,19,60,3,19,66,26,87,27,50,2,11,5,3,120,47,691,10,192,15,7,34,33,5,34,79,40,28,62,179,771,48,1,7,23,0,40,35,20,4,536,9,11,6,25,178,26,1,7,232,26,266,76,17,7
06/05/2020,12,826,23,436,108,138,18,23,55,985,14,57,2,10,3,14,1065,301,29,33,19,5,19,60,3,19,67,27,87,30,52,2,12,6,3,123,48,694,10,202,15,7,34,33,5,43,79,41,29,69,185,824,48,1,7,26,0,40,35,21,5,545,9,12,5,25,184,26,1,7,244,29,279,74,17,7
06/06/2020,13,883,23,452,110,140,18,27,57,985,17,57,2,50,3,15,1091,326,29,35,21,6,19,60,3,20,67,28,89,32,53,2,12,6,4,130,48,744,10,222,15,7,34,33,6,50,79,42,33,81,188,913,49,1,7,28,0,40,39,21,5,547,9,12,5,26,197,26,1,7,264,29,300,74,17,7
06/07/2020,13,956,23,463,113,140,19,29,66,985,25,59,2,56,3,15,1103,339,30,38,23,6,19,61,3,20,67,31,89,36,54,2,14,6,5,135,48,753,10,235,15,7,34,33,6,54,80,44,41,85,188,1016,49,1,7,30,0,40,41,21,5,548,10,12,5,26,204,26,1,7,264,32,302,74,17,7
06/08/2020,13,1011,25,465,117,142,19,30,66,985,26,60,2,59,3,15,1118,355,30,38,26,6,19,63,3,20,67,33,89,49,59,2,14,6,5,147,48,755,11,240,15,8,34,36,7,54,83,44,45,96,188,1097,50,1,7,32,0,41,42,21,5,554,10,13,5,27,213,26,2,7,300,32,305,75,17,7
06/09/2020,13,1090,26,473,119,150,22,33,69,985,28,63,2,68,3,15,1131,366,30,40,26,7,19,65,3,20,67,36,89,97,59,3,13,6,5,150,49,761,11,248,16,7,34,36,7,57,85,44,45,98,190,1185,50,1,7,32,0,41,43,21,5,559,10,14,5,30,218,26,2,7,294,34,318,75,17,7
06/10/2020,14,1137,26,489,124,153,22,34,71,985,31,64,2,70,3,15,1188,382,30,42,30,8,19,67,3,20,67,35,89,120,60,3,12,6,5,159,50,764,11,251,16,8,34,36,14,58,86,44,47,102,190,1235,52,1,7,34,0,41,43,23,5,573,10,14,5,30,222,27,2,7,278,34,331,74,17,7
06/11/2020,14,1219,27,500,136,154,22,33,75,986,33,67,2,71,3,15,1225,387,30,56,32,9,19,72,3,20,68,38,89,120,64,2,12,6,5,163,50,768,11,261,16,8,37,37,14,67,86,46,48,109,194,1389,55,1,7,34,0,43,47,25,6,578,10,15,5,31,232,28,2,7,302,35,337,74,17,7
06/12/2020,14,1306,27,508,142,154,23,33,78,986,33,69,2,73,3,15,1241,393,30,66,40,9,19,74,3,20,69,38,90,317,66,2,13,6,6,166,51,767,11,275,19,9,37,39,15,99,89,50,48,133,199,1605,54,1,9,34,0,45,51,25,6,625,10,17,5,32,234,28,2,7,300,38,346,74,17,7
